Bucket ID,Voter Addr,Vote Time,Stake Duation(h),Votee,Token,End Time,Reward Rate,Actual Stake Time(day),Bucket Reward,,,,,,,,,,,,,,
1,0x2ce9006c7905576f3bC6cB26EDc0Bc31eFEB733b,2019/2/28 3:17,0,test,100,2019/4/21 19:00,20%,52,2.849315068,,,,,,,,,,,,,,
6,0xfe7BCb3676aaBe9A6b39cB23F3a5FA41eED7Ad1b,2019/2/28 11:08,168,slowmist,8000,,20%,52,227.9452055,,,,,,,,,,,,,,
7,0xfe7BCb3676aaBe9A6b39cB23F3a5FA41eED7Ad1b,2019/2/28 11:10,168,gamefantasy,16000,,20%,52,455.890411,,,,,,,,,,,,,,
8,0xfe7BCb3676aaBe9A6b39cB23F3a5FA41eED7Ad1b,2019/2/28 11:11,168,preangel,16000,,20%,52,455.890411,,,,,,,,,,,,,,
9,0xfe7BCb3676aaBe9A6b39cB23F3a5FA41eED7Ad1b,2019/2/28 11:12,168,coingecko,16000,,20%,52,455.890411,,,,,,,,,,,,,,
10,0xfe7BCb3676aaBe9A6b39cB23F3a5FA41eED7Ad1b,2019/2/28 11:13,168,coingecko,16000,,20%,52,455.890411,,,,,,,,,,,,,,
12,0x46aBbc9fc9d8E749746B00865BC2Cf7C4d85C837,2019/2/28 11:34,672,droute,4800000,,30%,52,205150.6849,,,,,,,,,,,,,,
13,0x46aBbc9fc9d8E749746B00865BC2Cf7C4d85C837,2019/2/28 11:41,672,droute,3600000,,30%,52,153863.0137,,,,,,,,,,,,,,
14,0x46aBbc9fc9d8E749746B00865BC2Cf7C4d85C837,2019/2/28 11:42,672,droute,3600000,,30%,52,153863.0137,,,,,,,,,,,,,,
24,0xfe7BCb3676aaBe9A6b39cB23F3a5FA41eED7Ad1b,2019/2/28 12:45,168,infstones,102,,20%,52,2.90630137,,,,,,,,,,,,,,
32,0xfe7BCb3676aaBe9A6b39cB23F3a5FA41eED7Ad1b,2019/2/28 13:00,0,longz,400000,,20%,52,11397.26027,,,,,,,,,,,,,,
37,0x839E60C3e6bcF714B00720746E9bBF9a3148a3ad,2019/2/28 13:06,5040,iosg,2160000,,30%,52,92317.80822,,,,,,,,,,,,,,
51,0x0049FAB7f5dD1F26F057BD5d972Ffc6ba3c349Dd,2019/2/28 13:39,168,cobo,3600000,,20%,52,102575.3425,,,,,,,,,,,,,,
52,0x0049FAB7f5dD1F26F057BD5d972Ffc6ba3c349Dd,2019/2/28 13:40,672,droute,3600000,,30%,52,153863.0137,,,,,,,,,,,,,,
54,0x2990968B2f60fB5116544850FC7C730638Ad7827,2019/2/28 13:45,2016,zhcapital,3600000,,30%,52,153863.0137,,,,,,,,,,,,,,
55,0x2990968B2f60fB5116544850FC7C730638Ad7827,2019/2/28 13:45,2016,zhcapital,3600000,,30%,52,153863.0137,,,,,,,,,,,,,,
62,0xAF8c006965bEC0C4a725DC32F586BDe34e72A60b,2019/2/28 14:27,8400,yvalidator,9600000,,30%,52,410301.3699,,,,,,,,,,,,,,
63,0xAF8c006965bEC0C4a725DC32F586BDe34e72A60b,2019/2/28 14:28,8400,yvalidator,7200000,,30%,52,307726.0274,,,,,,,,,,,,,,
